鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
龍潭區,房地(土地+建物),桃園市龍潭區民強街31~60號,14.97,其他,,,1051201,土地2建物1車位0,地下一層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0870407,55.06,1,0,1,有,有,1660000,30149,,0.0,0,,RPPNMLKMKILFFCH77CA
龍潭區,房地(土地+建物),桃園市龍潭區成功路541~570號,142.26,,特定農業區,甲種建築用地,1051201,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040525,308.62,4,3,4,有,無,15100000,48927,,0.0,0,,RPRNMLKMKILFFCH97CA
龍潭區,房地(土地+建物),桃園市龍潭區武中路422巷31~60號,71.0,,一般農業區,甲種建築用地,1051001,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820301,145.43,4,2,3,有,無,5550000,38163,,0.0,0,,RPROMLKMKILFFCH08CA
龍潭區,土地,三洽水段451~480地號,2470.0,,山坡地保育區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,4049,,0.0,0,,RPTNMLPJJHMFFCH28CA
龍潭區,房地(土地+建物),桃園市龍潭區中興路240巷7弄1~30號,78.87,,鄉村區,乙種建築用地,1051201,土地1建物1車位0,一層,一層,其他,住家用,磚造,0661018,50.8,0,0,0,無,無,2800000,55118,,0.0,0,,RPUNMLPJJHMFFCH38CA
龍潭區,土地,金龍段1351~1380地號,668.33,,一般農業區,農牧用地,1051101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7974655,11932,,0.0,0,,RPPPMLMJJHMFFCH77CA
龍潭區,土地,三洽水段691~720地號,2395.5,,山坡地保育區,林業用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,250,,0.0,0,,RPQPMLMJJHMFFCH87CA
龍潭區,房地(土地+建物),桃園市龍潭區聖亭路八德段31~60號,69.0,,一般農業區,甲種建築用地,1051001,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0710422,100.4,3,2,2,有,無,5770000,57470,,0.0,0,含增建。,RPRPMLMJJHMFFCH97CA
龍潭區,土地,金龍段1771~1800地號,622.57,,一般農業區,農牧用地,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7720000,12400,,0.0,0,,RPSPMLMJJHMFFCH08CA
龍潭區,房地(土地+建物),桃園市龍潭區大同路58巷18弄1~30號,79.44,住,,,1051101,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0820826,219.04000000000002,3,2,3,有,無,6000000,27392,,0.0,0,含增建。,RPTPMLMJJHMFFCH18CA
龍潭區,房地(土地+建物)+車位,桃園市龍潭區中正路上華段112巷36弄1~30號,29.94,,一般農業區,甲種建築用地,1051201,土地3建物1車位1,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050408,161.85000000000002,3,1,2,有,有,7550000,52848,坡道平面,37.91,1000000,,RPTNMLLKJHMFFCH97CA
復興區,土地,巴陵段451~480地號,3117.0,,山坡地保育區,農牧用地,1040201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,380000,122,,0.0,0,親友、員工或其他特殊關係間之交易。,RPUNMLQKJHMFFCH58CA
龍潭區,土地,龍源段1261~1290地號,59.72,,山坡地保育區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2900000,48560,,0.0,0,,RPPOMLNKJHMFFCH87CA
