鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
南投市,房地(土地+建物),南投縣南投市育樂路31~60號,15.39,住,,,1051201,土地1建物1車位0,一層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820322,84.27,3,1,2,有,無,2250000,26700,,0.0,0,,RPPNMLTKJHMFFAM68CA
南投市,房地(土地+建物),南投縣南投市嘉和一路271~300號,28.42,住,,,1051201,土地1建物1車位0,一層，二層，騎樓,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0840501,147.65,3,2,2,有,無,3250000,22012,,0.0,0,,RPOOMLRKJHMFFAM48CA
名間鄉,房地(土地+建物),南投縣名間鄉水尾巷1~30號,94.29,,一般農業區,丙種建築用地,1051201,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0701005,105.96,3,2,2,有,無,1250000,11797,,0.0,0,,RPTNMLTKJHMFFAM09CA
中寮鄉,土地,龍眼林段931~960地號,1279.0,,山坡地保育區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,391,,0.0,0,,RPVNMLTKJHMFFAM66CA
南投市,房地(土地+建物),南投縣南投市仁愛路119巷2弄1~30號,146.09,住,,,1051201,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050808,172.41,5,2,5,有,無,11900000,69022,,0.0,0,本標的部份為道路用地,RPQNMLTKJHMFFAM78CA
名間鄉,土地,吳厝段31~60地號,364.11,農,,,1060101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2210000,6070,,0.0,0,,SPRNMLTKJHMFFAM98CA
南投市,土地,三塊厝段1~30地號,90.0,商,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,61111,,0.0,0,含增建或未登記建物。,RPTNMLNLJHMFFAM58CA
南投市,房地(土地+建物),南投縣南投市中山南街79巷1~30號,176.0,商,,,1051201,土地3建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0830513,112.56,0,0,0,無,無,9300000,82623,,0.0,0,,RPRNMLNLJHMFFAM38CA
名間鄉,土地,番子寮段661~690地號,1438.75,,山坡地保育區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,120000,83,,0.0,0,,RPRNMLOLJHMFFAM48CA
草屯鎮,土地,新富寮段841~870地號,1852.0,其他,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23520000,12700,,0.0,0,買受人有二人,RPTNMLTKJHMFFBM56CA
草屯鎮,土地,中興段2191~2220地號,133.99,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6280000,46869,,0.0,0,,RPOOMLSKJHMFFBM68CA
名間鄉,土地,新南段181~210地號,1427.29,,特定農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4037500,2829,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLKKKHMFFAM08CA
草屯鎮,房地(土地+建物),南投縣草屯鎮碧興路一段792巷3弄1~30號,107.1,,一般農業區,甲種建築用地,1051201,土地6建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0931015,163.43,4,2,2,有,無,6670000,40813,,0.0,0,,RPQOMLTKJHMFFBM98CA
草屯鎮,房地(土地+建物),南投縣草屯鎮中正路1111~1140號,9.91,住,,,1051201,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841215,82.82000000000001,2,2,2,有,有,2120000,25598,,0.0,0,,RPWNMLTKJHMFFBM86CA
南投市,土地,南投段361~390地號,1.8,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,48960,27200,,0.0,0,,RPQNMLOKKHMFFAM38CA
南投市,土地,南投段361~390地號,5.33,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,144990,27203,,0.0,0,,RPRNMLOKKHMFFAM48CA
名間鄉,房地(土地+建物),南投縣名間鄉彰南路143之1~30號,454.51,農,,,1060101,土地6建物2車位0,全,二層,透天厝,住家用,鋼筋混凝土造,1040430,268.15,3,2,4,有,無,16790000,62614,,0.0,0,土地及建物分次登記案件所有權人共二人,RPUNMLOKKHMFFAM78CA
名間鄉,房地(土地+建物),南投縣名間鄉彰南路570巷1~30號,97.81,,鄉村區,乙種建築用地,1051201,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050620,182.0,5,2,3,有,有,7600000,41758,,0.0,0,,RPVNMLOKKHMFFAM88CA
南投市,房地(土地+建物),南投縣南投市永鳴路158巷31~60號,289.68,,山坡地保育區,丙種建築用地,1051201,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0721228,113.08,0,0,0,無,無,5500000,48638,,0.0,0,,RPTNMLQJKHMFFAM78CA
